Date,Adj Close,Close,High,Low,Open,Volume
22-07-20,2110,2110,2120.600098,2010,2055,1721410
23-07-20,2100.350098,2100.350098,2148,2095,2107.699951,771164
24-07-20,2031.400024,2031.400024,2124.800049,2027,2095,1349971
27-07-20,2026.099976,2026.099976,2060,2001.5,2044,2240161
28-07-20,2051.399902,2051.399902,2067,2027.800049,2060,522666
29-07-20,2049.699951,2049.699951,2075,2041.099976,2060,351481
30-07-20,2040.199951,2040.199951,2068,2030,2039,411812
31-07-20,2063.449951,2063.449951,2075,2033.050049,2046,423771
03-08-20,2093.149902,2093.149902,2112.699951,2060.300049,2068.699951,554636
04-08-20,2165.100098,2165.100098,2178,2090,2093.149902,613847
05-08-20,2163.449951,2163.449951,2189.949951,2151.050049,2175,503490
06-08-20,2150.550049,2150.550049,2191.949951,2135.649902,2170,637775
07-08-20,2138.399902,2138.399902,2176.399902,2133,2170,354663
10-08-20,2116.5,2116.5,2145,2100,2138.399902,366321
11-08-20,2131.949951,2131.949951,2143.149902,2110.350098,2120,461469
12-08-20,2169.199951,2169.199951,2175,2122,2139,440623
13-08-20,2207.100098,2207.100098,2213.449951,2150,2177,598902
14-08-20,2178,2178,2219.899902,2173.550049,2214.300049,290346
17-08-20,2189.75,2189.75,2203.75,2160,2181,272784
18-08-20,2259.449951,2259.449951,2266.300049,2170,2195,700407
19-08-20,2266.600098,2266.600098,2309.25,2240,2279,590882
20-08-20,2285.899902,2285.899902,2290,2219,2252,373074
21-08-20,2259.449951,2259.449951,2300,2252.350098,2290.399902,326272
24-08-20,2250.300049,2250.300049,2272,2244,2269.949951,161735
25-08-20,2341.149902,2341.149902,2351.75,2260.100098,2267.199951,1036474
26-08-20,2410.100098,2410.100098,2425,2343,2343,1466342
27-08-20,2380.850098,2380.850098,2445,2351.25,2440,695841
28-08-20,2319.399902,2319.399902,2376.899902,2300,2376.75,617753
31-08-20,2251.25,2251.25,2298.899902,2195,2298.899902,1031133
01-09-20,2241.600098,2241.600098,2280,2202,2244,623811
02-09-20,2218.449951,2218.449951,2275,2212.050049,2247.850098,590806
03-09-20,2278.399902,2278.399902,2324.300049,2229,2239,767034
04-09-20,2251.449951,2251.449951,2367.850098,2183.300049,2251.100098,1115594
07-09-20,2261.399902,2261.399902,2278.25,2240.149902,2270,517068
08-09-20,2246.600098,2246.600098,2297.850098,2235.050049,2263.149902,1234858
09-09-20,2222.699951,2222.699951,2257.949951,2207.600098,2230,550191
10-09-20,2237.75,2237.75,2244.949951,2215,2225,316351
11-09-20,2239.350098,2239.350098,2273,2226.050049,2241.899902,456276
14-09-20,2162.699951,2162.699951,2258.949951,2150.050049,2250,902088
15-09-20,2136.149902,2136.149902,2185,2130,2185,1115664
16-09-20,2135.949951,2135.949951,2173,2130.699951,2152.550049,391180
17-09-20,2139.050049,2139.050049,2167,2133.100098,2147,244384
18-09-20,2149.050049,2149.050049,2175.949951,2104,2149.899902,1204363
21-09-20,2097.449951,2097.449951,2177,2056,2175,1140224
22-09-20,2049.300049,2049.300049,2104.850098,1995.099976,2099,722624
23-09-20,2055.300049,2055.300049,2100,2047,2066.949951,422287
24-09-20,2047.349976,2047.349976,2084,2037.599976,2047.900024,452643
25-09-20,2102.699951,2102.699951,2120,2042.099976,2042.099976,325523
28-09-20,2108.399902,2108.399902,2142,2098,2110.899902,357109
29-09-20,2133.25,2133.25,2150.600098,2082.899902,2108.399902,593648
30-09-20,2203.149902,2203.149902,2219.800049,2115,2134,677252
01-10-20,2184.800049,2184.800049,2242,2171.100098,2210,551391
05-10-20,2110.449951,2110.449951,2197.149902,2104,2192.949951,438928
06-10-20,2083.050049,2083.050049,2135.75,2066,2135.75,453692
07-10-20,2066.100098,2066.100098,2108.699951,2047,2092.949951,598368
08-10-20,2065.350098,2065.350098,2090,2045.050049,2085,387439
09-10-20,2057.600098,2057.600098,2090.899902,2035.050049,2068,553521
12-10-20,2002.599976,2002.599976,2084,1995.099976,2072,860071
13-10-20,1977.449951,1977.449951,2035.449951,1965,2002.599976,1222698
14-10-20,1974.550049,1974.550049,2014.849976,1966.25,1984.900024,974558
15-10-20,1977.699951,1977.699951,1998.5,1970.050049,1987.099976,744866
16-10-20,1984.199951,1984.199951,1999,1970,1980,614032
19-10-20,2094.300049,2094.300049,2140,1954.849976,1969.050049,3267635
20-10-20,2143.050049,2143.050049,2170,2056,2099,1555361
21-10-20,2081.350098,2081.350098,2170,2061.050049,2143.050049,892875
22-10-20,2100.300049,2100.300049,2129.899902,2062.899902,2081,548828
23-10-20,2116.550049,2116.550049,2133.850098,2081,2106.949951,546561
26-10-20,2144.25,2144.25,2150,2100.350098,2120,613118
27-10-20,2176.199951,2176.199951,2188,2111.850098,2133,621369
28-10-20,2240.199951,2240.199951,2249,2175,2197,989232
29-10-20,2267.100098,2267.100098,2277.600098,2185,2200,624080
30-10-20,2239.899902,2239.899902,2278.899902,2195.75,2260,680417
02-11-20,2205.75,2205.75,2259,2163,2240,397527
03-11-20,2209.050049,2209.050049,2245,2180,2203.800049,598460
04-11-20,2290.800049,2290.800049,2300,2210.050049,2210.050049,698833
05-11-20,2281.949951,2281.949951,2325.449951,2202.5,2202.5,600284
06-11-20,2294.600098,2294.600098,2303.25,2243.449951,2281.949951,445989
09-11-20,2325.850098,2325.850098,2335,2283.050049,2306.050049,415802
10-11-20,2362.399902,2362.399902,2368.899902,2315.5,2340,469484
11-11-20,2398.199951,2398.199951,2403,2361,2373.899902,506443
12-11-20,2400.300049,2400.300049,2410,2361.050049,2400,369948
13-11-20,2383.050049,2383.050049,2399,2361.5,2390,171758
14-11-20,2374.149902,2374.149902,2407,2346,2405,43896
17-11-20,2432.149902,2432.149902,2507.949951,2374.149902,2374.149902,1127375
18-11-20,2375.050049,2375.050049,2420,2360.850098,2420,607582
19-11-20,2392.199951,2392.199951,2415,2330,2375,460179
20-11-20,2382.600098,2382.600098,2438.949951,2350.550049,2390,284940
23-11-20,2360.399902,2360.399902,2379.899902,2352.25,2361.100098,234655
24-11-20,2380.25,2380.25,2429.899902,2350,2367.949951,543631
25-11-20,2360.800049,2360.800049,2399.5,2350,2370,439765
26-11-20,2373.050049,2373.050049,2396.899902,2343.199951,2353,333431
27-11-20,2289.199951,2289.199951,2395,2220.050049,2373,1604427
01-12-20,2426.699951,2426.699951,2450,2315,2330,912165
02-12-20,2456,2456,2473,2380.149902,2435,494720
03-12-20,2470.850098,2470.850098,2479.300049,2440,2460.100098,393025
04-12-20,2441.899902,2441.899902,2469.949951,2415.550049,2469.949951,310934
07-12-20,2526.449951,2526.449951,2540.5,2413,2441.899902,918509
08-12-20,2652.100098,2652.100098,2689,2520,2530,2106893
09-12-20,2625.300049,2625.300049,2755,2586,2652,1254592
10-12-20,2622.050049,2622.050049,2673.5,2575.850098,2630,713356
11-12-20,2685.100098,2685.100098,2715,2632,2647,595814
14-12-20,2671.949951,2671.949951,2745,2651.25,2715,486459
15-12-20,2640.050049,2640.050049,2688.899902,2624.5,2672,257299
16-12-20,2627.050049,2627.050049,2678.449951,2605,2650.050049,452432
17-12-20,2556.050049,2556.050049,2650,2503,2645,796303
18-12-20,2637.050049,2637.050049,2650,2555,2574,681413
21-12-20,2682.399902,2682.399902,2715,2460.800049,2645,1195766
22-12-20,2625.75,2625.75,2678.300049,2552.25,2676,744981
23-12-20,2661.850098,2661.850098,2675,2621.300049,2650,374135
24-12-20,2673.100098,2673.100098,2700,2604.800049,2661.850098,432162
28-12-20,2678,2678,2698.949951,2655,2685.949951,319378
29-12-20,2665.699951,2665.699951,2694.699951,2645,2690,345136
30-12-20,2680.300049,2680.300049,2725,2642.350098,2666.199951,479318
31-12-20,2763.600098,2763.600098,2780,2670,2691,984705
01-01-21,2789.100098,2789.100098,2804.100098,2747,2767,432860
04-01-21,2898.449951,2898.449951,2949,2805,2808,868534
05-01-21,2991.149902,2991.149902,3064,2810.100098,2890,808892
06-01-21,2914.949951,2914.949951,3100,2832.800049,3006.449951,1112886
07-01-21,2921.449951,2921.449951,3008,2880,2971.699951,872261
08-01-21,2967.5,2967.5,2999,2932.25,2949.899902,742344
11-01-21,2984.850098,2984.850098,3137,2940,3137,1845898
12-01-21,2998.199951,2998.199951,3009.5,2939.449951,2959,1081702
13-01-21,2926.100098,2926.100098,3008.649902,2878.5,3001,421057
14-01-21,2895.550049,2895.550049,2940,2875.25,2939,340922
15-01-21,2820.949951,2820.949951,2920,2801,2904,356133
18-01-21,2744.899902,2744.899902,2829.899902,2715,2800,518632
19-01-21,2778.399902,2778.399902,2818.600098,2750,2754.899902,317833
20-01-21,2764.949951,2764.949951,2798,2740.100098,2797.850098,303828
21-01-21,2719.149902,2719.149902,2802.949951,2701,2775,342825
22-01-21,2862.75,2862.75,2899,2730,2730.100098,1027906
25-01-21,2837,2837,2940.649902,2805.399902,2894,460306
27-01-21,2811.75,2811.75,2889.550049,2790,2850.699951,550088
28-01-21,2794.449951,2794.449951,2879.75,2771,2812,620348
29-01-21,2651.5,2651.5,2836,2610,2825,900893
01-02-21,2812,2812,2894,2640,2700,1120547
02-02-21,2869.100098,2869.100098,2907,2781.699951,2820.5,837632
03-02-21,2877,2877,2945.75,2825.199951,2864.800049,575810
04-02-21,2959.850098,2959.850098,2975,2871,2891.350098,592418
05-02-21,2946.050049,2946.050049,2987,2922.850098,2959.949951,349721
08-02-21,2984.399902,2984.399902,3009,2910.5,2948,442778
09-02-21,2925,2925,3007.899902,2900,3005,281240
10-02-21,2967.699951,2967.699951,2980,2910.350098,2925,326068
11-02-21,2951.899902,2951.899902,2998,2924.149902,2975,236560
12-02-21,2928.899902,2928.899902,2963.550049,2915,2960,188886
15-02-21,3044.550049,3044.550049,3060,2933,2955,868075
16-02-21,3130.850098,3130.850098,3155,3045.949951,3054,792804
17-02-21,3190.25,3190.25,3242,3090,3120,918192
18-02-21,3127.75,3127.75,3220.699951,3052.149902,3220.699951,697912
19-02-21,3101.649902,3101.649902,3166,3058,3127.649902,404442
22-02-21,2992.600098,2992.600098,3108.399902,2950,3093.550049,293190
23-02-21,3151.949951,3151.949951,3174,2987.300049,3000,605901
24-02-21,3139.699951,3139.699951,3164,2900,3143,188724
25-02-21,3089.199951,3089.199951,3175.850098,3070,3150,405664
26-02-21,2994.199951,2994.199951,3105,2950,3059.800049,1005185
01-03-21,2908.449951,2908.449951,3024.149902,2900,3023.399902,439920
02-03-21,3073.5,3073.5,3106,2885.5,2908.449951,721426
03-03-21,3167.699951,3167.699951,3179,3085,3100,675749
04-03-21,3178.699951,3178.699951,3213.850098,3115,3129.899902,635423
05-03-21,3286.100098,3286.100098,3330,3120,3130,1535808
08-03-21,3191.149902,3191.149902,3309,3170,3309,406746
09-03-21,3151.850098,3151.850098,3254.25,3120.149902,3196,423685
10-03-21,3155.199951,3155.199951,3179.899902,3113.449951,3164,252903
12-03-21,3129.350098,3129.350098,3228.899902,3113,3183,253802
15-03-21,3108.75,3108.75,3171.100098,3096,3136,162458
16-03-21,3071,3071,3166,3050,3117,298799
17-03-21,3014.850098,3014.850098,3095,2991.100098,3071,304935
18-03-21,3034.600098,3034.600098,3074.899902,2980,3045,354857
19-03-21,2960.300049,2960.300049,3021.5,2925,3021.5,570995
22-03-21,2880.100098,2880.100098,2988,2862,2980,652753
23-03-21,2933.649902,2933.649902,3000.800049,2905,2908,650768
24-03-21,2855.600098,2855.600098,2947.699951,2840,2933.649902,455895
25-03-21,2796,2796,2893,2775,2875,621113
26-03-21,2855.199951,2855.199951,2898.800049,2805,2829,482759
30-03-21,2837.550049,2837.550049,2918,2807,2867,696632
31-03-21,2859.050049,2859.050049,2890,2830,2869,433044
01-04-21,2912.699951,2912.699951,2925,2855.5,2885,416624
05-04-21,2846.949951,2846.949951,2890,2793,2890,460926
06-04-21,2843.649902,2843.649902,2878.100098,2826.100098,2873,342977
07-04-21,2890.649902,2890.649902,2900,2835,2855,334645
08-04-21,2936.5,2936.5,2945,2890.649902,2899.649902,478173
09-04-21,2947.75,2947.75,2973.350098,2917.25,2937.100098,808884
12-04-21,2814.899902,2814.899902,2889,2790.100098,2861.100098,475661
13-04-21,2832.699951,2832.699951,2885,2812,2832.949951,267793
15-04-21,2928.899902,2928.899902,2952.949951,2828.100098,2844,377544
16-04-21,2919.899902,2919.899902,2980,2902,2947,334483
19-04-21,2850.75,2850.75,2869.5,2820.25,2860.449951,267692
20-04-21,2778.25,2778.25,2889.800049,2756,2880,451846
22-04-21,2717.600098,2717.600098,2792.850098,2699,2785,913846
23-04-21,2713.699951,2713.699951,2743.899902,2676.399902,2709,436472
26-04-21,2808.25,2808.25,2819.399902,2719.149902,2729.899902,476865
